"Variable","Mean","SD","Min","Q1","Median","Q3","Max"
"A01","24.63","17.45",1,5,33,41,47
"A02","0.2115","2.83",0,0,0,0,116
"A04","2.755","0.5569",2,2,3,3,7
"A05","0.009572","0.2829",0,0,0,0,12
"A08","0.8518","0.2102",0.1579,0.6923,1,1,1
"A11","0.04101","0.3986",0,0,0,0,11
"A12","320.2","144.5",115,232,232,449,692
"A13","0.007583","0.2236",0,0,0,0,9
"A17","1.161","0.6125",0,1,1,1,8
"A18","63.09","132.6",4,13,33,90,3738
"A21","0.02174","0.1654",0,0,0,0,3
"A22","0.05608","0.01065",0.0042,0.0511,0.0583,0.0632,0.0819
"A23","70.87","68.2",0,11,100,107,1074
"A24","0.2646","0.2513",0,0.0075,0.08,0.5229,0.5229
"A25","0.0001724","0.00415",0,0,0,0,0.145
